Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
4.090000 0.000460 0.000460
4.100000 0.000466 0.000466
4.110000 0.000520 0.000520
4.120000 0.000528 0.000528
4.130000 0.000467 0.000467
4.140000 0.000478 0.000478
4.150000 0.000471 0.000471
4.160000 0.000463 0.000463
4.170000 0.000459 0.000459
4.180000 0.000455 0.000455
4.190000 0.000445 0.000445
4.200000 0.000472 0.000472
4.210000 0.000457 0.000457
4.220000 0.000475 0.000475
4.230000 0.000470 0.000470
4.240000 0.000478 0.000478
4.250000 0.000479 0.000479
4.260000 0.000481 0.000481
4.270000 0.000483 0.000483
4.280000 0.000462 0.000462
4.290000 0.000486 0.000486
4.300000 0.000457 0.000457
4.310000 0.000457 0.000457
4.320000 0.000454 0.000454
4.330000 0.000461 0.000461
4.340000 0.000488 0.000488
4.350000 0.000445 0.000445
4.360000 0.000452 0.000452
4.370000 0.000451 0.000451
4.380000 0.000464 0.000464
4.390000 0.000464 0.000464
4.400000 0.000449 0.000449
4.410000 0.000432 0.000432
4.420000 0.000435 0.000435
4.430000 0.000430 0.000430
4.440000 0.000437 0.000437
4.450000 0.000441 0.000441
4.460000 0.000438 0.000438
4.470000 0.000456 0.000456
4.480000 0.000428 0.000428
4.490000 0.000439 0.000439
4.500000 0.000446 0.000446
4.510000 0.000449 0.000449
4.520000 0.000448 0.000448
4.530000 0.000451 0.000451
4.540000 0.000474 0.000474
4.550000 0.000458 0.000458
4.560000 0.000458 0.000458
4.570000 0.000470 0.000470
4.580000 0.000444 0.000444
4.590000 0.000461 0.000461
4.600000 0.000455 0.000455
4.610000 0.000458 0.000458
4.620000 0.000449 0.000449
4.630000 0.000466 0.000466
4.640000 0.000460 0.000460
4.650000 0.000458 0.000458
4.660000 0.000456 0.000456
4.670000 0.000448 0.000448
4.680000 0.000470 0.000470
4.690000 0.000457 0.000457
4.700000 0.000435 0.000435
4.710000 0.000440 0.000440
4.720000 0.000444 0.000444
4.730000 0.000446 0.000446
4.740000 0.000443 0.000443
4.750000 0.000446 0.000446
4.760000 0.000442 0.000442
4.770000 0.000442 0.000442
4.780000 0.000445 0.000445
4.790000 0.000451 0.000451
4.800000 0.000449 0.000449
4.810000 0.000449 0.000449
4.820000 0.000434 0.000434
4.830000 0.000444 0.000444
4.840000 0.000447 0.000447
4.850000 0.000442 0.000442
4.860000 0.000488 0.000488
4.870000 0.000473 0.000473
4.880000 0.000456 0.000456
4.890000 0.000467 0.000467
4.900000 0.000459 0.000459
4.910000 0.000480 0.000480
4.920000 0.000461 0.000461
4.930000 0.000458 0.000458
4.940000 0.000479 0.000479
4.950000 0.000450 0.000450
4.960000 0.000480 0.000480
4.970000 0.000452 0.000452
4.980000 0.000467 0.000467
4.990000 0.000488 0.000488
5.000000 0.000511 0.000511
5.010000 0.000500 0.000500
5.020000 0.000520 0.000520
5.030000 0.000478 0.000478
5.040000 0.000488 0.000488
5.050000 0.000479 0.000479
5.060000 0.000507 0.000507
5.070000 0.000476 0.000476
5.080000 0.000482 0.000482
5.090000 0.000475 0.000475
5.100000 0.000469 0.000469
5.110000 0.000472 0.000472
5.120000 0.000483 0.000483
5.130000 0.000486 0.000486
5.140000 0.000481 0.000481
5.150000 0.000468 0.000468
5.160000 0.000490 0.000490
5.170000 0.000472 0.000472
5.180000 0.000490 0.000490
5.190000 0.000488 0.000488
5.200000 0.000463 0.000463
5.210000 0.000474 0.000474
5.220000 0.000458 0.000458
5.230000 0.000464 0.000464
5.240000 0.000467 0.000467
5.250000 0.000439 0.000439
5.260000 0.000447 0.000447
5.270000 0.000448 0.000448
5.280000 0.000446 0.000446
5.290000 0.000456 0.000456
5.300000 0.000458 0.000458
5.310000 0.000455 0.000455
5.320000 0.000455 0.000455
5.330000 0.000443 0.000443
5.340000 0.000449 0.000449
5.350000 0.000461 0.000461
5.360000 0.000449 0.000449
5.370000 0.000428 0.000428
5.380000 0.000427 0.000427
5.390000 0.000446 0.000446
5.400000 0.000451 0.000451
5.410000 0.000443 0.000443
5.420000 0.000435 0.000435
5.430000 0.000431 0.000431
5.440000 0.000446 0.000446
5.450000 0.000454 0.000454
5.460000 0.000450 0.000450
5.470000 0.000478 0.000478
5.480000 0.000457 0.000457
5.490000 0.000431 0.000431
5.500000 0.000429 0.000429
5.510000 0.000424 0.000424
5.520000 0.000427 0.000427
5.530000 0.000442 0.000442
5.540000 0.000423 0.000423
5.550000 0.000446 0.000446
5.560000 0.000453 0.000453
5.570000 0.000445 0.000445
5.580000 0.000455 0.000455
5.590000 0.000449 0.000449
5.600000 0.000464 0.000464
5.610000 0.000458 0.000458
5.620000 0.000451 0.000451
5.630000 0.000470 0.000470
5.640000 0.000467 0.000467
5.650000 0.000449 0.000449
5.660000 0.000464 0.000464
5.670000 0.000456 0.000456
5.680000 0.000462 0.000462
5.690000 0.000454 0.000454
5.700000 0.000454 0.000454
5.710000 0.000449 0.000449
5.720000 0.000442 0.000442
5.730000 0.000453 0.000453
5.740000 0.000447 0.000447
5.750000 0.000467 0.000467
5.760000 0.000482 0.000482
5.770000 0.000446 0.000446
5.780000 0.000454 0.000454
5.790000 0.000442 0.000442
5.800000 0.000441 0.000441
5.810000 0.000452 0.000452
5.820000 0.000447 0.000447
5.830000 0.000457 0.000457
5.840000 0.000450 0.000450
5.850000 0.000448 0.000448
5.860000 0.000461 0.000461
5.870000 0.000446 0.000446
5.880000 0.000456 0.000456
5.890000 0.000454 0.000454
5.900000 0.000456 0.000456
5.910000 0.000464 0.000464
5.920000 0.000458 0.000458
5.930000 0.000456 0.000456
5.940000 0.000454 0.000454
5.950000 0.000454 0.000454
5.960000 0.000493 0.000493
5.970000 0.000514 0.000514
5.980000 0.000476 0.000476
5.990000 0.000460 0.000460
6.000000 0.000490 0.000490
6.010000 0.000476 0.000476
6.020000 0.000460 0.000460
6.030000 0.000465 0.000465
6.040000 0.000466 0.000466
6.050000 0.000459 0.000459
6.060000 0.000479 0.000479
6.070000 0.000461 0.000461
6.080000 0.000491 0.000491
6.090000 0.000473 0.000473
6.100000 0.000463 0.000463
6.110000 0.000478 0.000478
6.120000 0.000482 0.000482
6.130000 0.000503 0.000503
6.140000 0.000470 0.000470
6.150000 0.000470 0.000470
6.160000 0.000472 0.000472
